symbol,datetime,open,high,low,close,volume,number_of_trades
BTC,2023-09-21 02:17:00,25693.45,25700.0,25693.45,25699.99,4.39231,279
BTC,2023-09-21 02:18:00,25699.99,25700.0,25698.07,25699.83,6.31811,257
BTC,2023-09-21 02:19:00,25699.83,25699.83,25687.32,25687.32,27.23422,293
BTC,2023-09-21 02:20:00,25687.33,25687.33,25685.05,25685.05,29.1446,315
BTC,2023-09-21 02:21:00,25685.06,25685.06,25681.45,25681.45,7.54778,283
BTC,2023-09-21 02:22:00,25681.45,25681.46,25680.0,25680.01,4.82862,237
BTC,2023-09-21 02:23:00,25680.01,25680.01,25659.82,25674.57,35.56415,832
BTC,2023-09-21 02:24:00,25674.57,25676.5,25665.26,25665.26,15.09009,305
BTC,2023-09-21 02:25:00,25665.26,25665.84,25665.26,25665.84,7.11992,229
BTC,2023-09-21 02:26:00,25665.83,25682.17,25665.83,25682.16,10.00846,332
BTC,2023-09-21 02:27:00,25682.17,25682.17,25682.16,25682.16,4.67204,167
BTC,2023-09-21 02:28:00,25682.16,25687.51,25682.16,25687.51,8.15266,273
BTC,2023-09-21 02:29:00,25687.51,25688.84,25682.42,25682.43,11.41026,353
BTC,2023-09-21 02:30:00,25682.42,25682.43,25679.67,25681.6,10.11948,243
BTC,2023-09-21 02:31:00,25681.59,25681.6,25677.68,25677.68,4.12412,191
BTC,2023-09-21 02:32:00,25677.68,25677.69,25677.68,25677.68,3.02371,200
BTC,2023-09-21 02:33:00,25677.69,25679.99,25677.68,25679.98,12.94194,247
BTC,2023-09-21 02:34:00,25679.98,25679.99,25679.98,25679.99,4.04785,229
BTC,2023-09-21 02:35:00,25679.98,25693.46,25679.98,25693.45,11.29281,365
BTC,2023-09-21 02:36:00,25693.46,25695.0,25693.45,25695.0,4.27076,254
BTC,2023-09-21 02:37:00,25695.0,25702.73,25694.99,25697.28,11.00391,335
BTC,2023-09-21 02:38:00,25697.28,25697.29,25694.79,25694.8,18.88694,213
BTC,2023-09-21 02:39:00,25694.79,25698.14,25691.37,25698.13,7.17597,323
BTC,2023-09-21 02:40:00,25698.13,25703.53,25698.13,25703.52,5.95069,209
BTC,2023-09-21 02:41:00,25703.53,25703.53,25703.52,25703.53,1.71462,269
BTC,2023-09-21 02:42:00,25703.52,25703.53,25703.52,25703.52,1.65811,136
BTC,2023-09-21 02:43:00,25703.53,25703.53,25703.52,25703.52,2.23507,165
BTC,2023-09-21 02:44:00,25703.53,25703.53,25703.52,25703.53,1.52507,89
BTC,2023-09-21 02:45:00,25703.53,25711.0,25703.52,25710.99,6.2367,292
BTC,2023-09-21 02:46:00,25711.0,25715.23,25710.99,25715.23,6.13984,270
BTC,2023-09-21 02:47:00,25715.22,25716.54,25715.22,25716.53,5.74773,214
BTC,2023-09-21 02:48:00,25716.54,25718.77,25716.53,25718.77,5.09845,229
BTC,2023-09-21 02:49:00,25718.76,25722.2,25718.76,25722.19,5.76286,214
BTC,2023-09-21 02:50:00,25722.2,25722.2,25720.45,25722.19,16.24371,299
BTC,2023-09-21 02:51:00,25722.2,25724.15,25722.19,25724.15,2.27722,180
BTC,2023-09-21 02:52:00,25724.14,25725.0,25724.14,25724.99,1.39383,176
BTC,2023-09-21 02:53:00,25725.0,25725.0,25723.51,25723.51,3.03403,153
BTC,2023-09-21 02:54:00,25723.52,25723.52,25721.21,25721.22,1.76539,192
BTC,2023-09-21 02:55:00,25721.22,25727.12,25721.21,25727.11,9.86163,292
BTC,2023-09-21 02:56:00,25727.11,25739.47,25727.11,25739.47,9.29164,492
BTC,2023-09-21 02:57:00,25739.46,25739.47,25739.46,25739.46,5.23816,293
BTC,2023-09-21 02:58:00,25739.47,25741.26,25739.46,25741.25,3.66906,356
